2025-09-20 16:00:53.f | INFO     | __init__                  | [INIT] BillingProcessor initialized | {"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "backend_url": "http://localhost:3000", "has_backend_shared_secret": true, "has_transport": true, "initial_state": "idle", "timestamp": "2025-09-20T13:00:53.670383"}
2025-09-20 16:00:53.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:processor_initialized | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:00:53.670383", "backend_url": "http://localhost:3000", "has_backend_shared_secret": true, "has_transport": true, "initial_state": "idle"}
2025-09-20 16:00:54.f | INFO     | process_frame             | [AUDIO] First audio frame received | conversation_id=2f51cb14-306b-498d-be37-efe1deef93e7 | correlation_token=sim_909c4aa76664333dbd33add873591bca_1758373233161 | will_start_billing=True
2025-09-20 16:00:54.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:first_audio_received | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:00:54.697176", "direction": "DOWNSTREAM"}
2025-09-20 16:00:54.f | INFO     | _transition_state         | [STATE] Transition | conversation_id=2f51cb14-306b-498d-be37-efe1deef93e7 | from=idle | to=waiting_for_audio | reason=first_audio_received
2025-09-20 16:00:54.f | INFO     | _transition_state         | [STATE] Transition | conversation_id=2f51cb14-306b-498d-be37-efe1deef93e7 | from=waiting_for_audio | to=active | reason=billing_started
2025-09-20 16:00:54.f | INFO     | _start_billing            | [START] Starting billing timer | {"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "start_time": "2025-09-20T13:00:54.697379", "backend_url": "http://localhost:3000"}
2025-09-20 16:00:54.f | DEBUG    | _start_billing            | [START] Created billing task | task_name=billing_loop_2f51cb14-306b-498d-be37-efe1deef93e7 | task_id=13305912320
2025-09-20 16:00:54.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:started | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:00:54.697474", "start_time": "2025-09-20T13:00:54.697379", "backend_url": "http://localhost:3000"}
2025-09-20 16:00:54.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:state_transition | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:00:54.697285", "from": "idle", "to": "waiting_for_audio", "reason": "first_audio_received"}
2025-09-20 16:00:54.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:state_transition | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:00:54.697335", "from": "waiting_for_audio", "to": "active", "reason": "billing_started"}
2025-09-20 16:00:54.f | INFO     | _billing_loop             | [LOOP] Started | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | conversation_id=2f51cb14-306b-498d-be37-efe1deef93e7
2025-09-20 16:00:54.f | DEBUG    | _billing_loop             | [LOOP] Iteration 1 starting | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | current_minute=0 | waiting_60s=true
2025-09-20 16:01:54.f | INFO     | _billing_loop             | [LOOP] Minute elapsed | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | iteration=1 | minute=1 | conversation_id=2f51cb14-306b-498d-be37-efe1deef93e7
2025-09-20 16:01:54.f | INFO     | _send_billing_webhook     | [WEBHOOK] Request starting | request_id=req_1_1758373314701 | url=http://localhost:3000/api/billing/voice-minute | minute=1 | attempt=1
2025-09-20 16:01:54.f | DEBUG    | _send_billing_webhook     | [WEBHOOK] Request data | request_id=req_1_1758373314701 | data={"correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "minute": 1, "timestamp": "2025-09-20T13:01:54.701329"}
2025-09-20 16:01:54.f | DEBUG    | _send_billing_webhook     | [WEBHOOK] Sending POST | request_id=req_1_1758373314701 | headers={"Content-Type": "application/json", "X-Internal-Secret": "REDACTED", "X-Request-ID": "req_1_1758373314701"}
2025-09-20 16:01:54.f | INFO     | _send_billing_webhook     | [WEBHOOK] Response received | {"request_id": "req_1_1758373314701", "status": 200, "latency_ms": 37.358999252319336, "minute": 1, "response_size": 157}
2025-09-20 16:01:54.f | DEBUG    | _send_billing_webhook     | [WEBHOOK] Success response | request_id=req_1_1758373314701 | data={"status": "continue", "creditsRemaining": 9, "minuteBilled": 1, "totalMinutesBilled": 1, "attemptId": "1598f8e1-be6c-475c-a76d-9412a5ce9994", "shouldTerminate": false}
2025-09-20 16:01:54.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:webhook_success | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:01:54.739236", "request_id": "req_1_1758373314701", "minute": 1, "latency_ms": 37.358999252319336, "response": {"status": "continue", "creditsRemaining": 9, "minuteBilled": 1, "totalMinutesBilled": 1, "attemptId": "1598f8e1-be6c-475c-a76d-9412a5ce9994", "shouldTerminate": false}}
2025-09-20 16:01:54.f | INFO     | _billing_loop             | [LOOP] Webhook result | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | {"minute": 1, "success": true, "latency_ms": 38.13886642456055, "iteration": 1}
2025-09-20 16:01:54.f | INFO     | _handle_billing_response  | [RESPONSE] Processing | {"response_id": "resp_1_1758373314739", "minute": 1, "status": "continue", "credits_remaining": 9, "should_terminate": false, "message": null, "grace_period": null}
2025-09-20 16:01:54.f | DEBUG    | _emit_billing_event       | [EVENT] Emitted conversation:2f51cb14-306b-498d-be37-efe1deef93e7:billing:status_update | data={"conversation_id": "2f51cb14-306b-498d-be37-efe1deef93e7", "correlation_token": "sim_909c4aa76664333dbd33add873591bca_1758373233161", "timestamp": "2025-09-20T13:01:54.739571", "response_id": "resp_1_1758373314739", "minute": 1, "status": "continue", "credits_remaining": 9, "should_terminate": false, "message": null, "grace_period": null}
2025-09-20 16:01:54.f | DEBUG    | _billing_loop             | [LOOP] Iteration complete | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | iteration=1 | total_duration_s=60.04 | webhook_duration_ms=38.14
2025-09-20 16:01:54.f | DEBUG    | _billing_loop             | [LOOP] Iteration 2 starting | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | current_minute=1 | waiting_60s=true
2025-09-20 16:02:54.f | INFO     | _billing_loop             | [LOOP] Minute elapsed | loop_id=2f51cb14-306b-498d-be37-efe1deef93e7_1758373254 | iteration=2 | minute=2 | conversation_id=2f51cb14-306b-498d-be37-efe1deef93e7
2025-09-20 16:02:54.f | INFO     | _send_billing_webhook     | [WEBHOOK] Request starting | request_id=req_2_1758373374747 | url=http://localhost:3000/api/billing/voice-minute | minute=2 | attempt=2
